Area,Area Type,Indicator,Indicator Type,Year,Year Type,Measure Type,Value,Rate
Aberdeen City,Council Area,Total Non-EU Registrations,NINo,2004,Calendar,Count,1190,5.726109133
Aberdeenshire,Council Area,Total Non-EU Registrations,NINo,2004,Calendar,Count,280,1.19306319
Angus,Council Area,Total Non-EU Registrations,NINo,2004,Calendar,Count,80,0.726150495
Argyll and Bute,Council Area,Total Non-EU Registrations,NINo,2004,Calendar,Count,170,1.876793994
City of Edinburgh,Council Area,Total Non-EU Registrations,NINo,2004,Calendar,Count,2810,6.30228542
Clackmannanshire,Council Area,Total Non-EU Registrations,NINo,2004,Calendar,Count,20,0.410846343
Dumfries and Galloway,Council Area,Total Non-EU Registrations,NINo,2004,Calendar,Count,100,0.672494956
Dundee City,Council Area,Total Non-EU Registrations,NINo,2004,Calendar,Count,520,3.633822502
East Ayrshire,Council Area,Total Non-EU Registrations,NINo,2004,Calendar,Count,60,0.499126529
East Dunbartonshire,Council Area,Total Non-EU Registrations,NINo,2004,Calendar,Count,90,0.844753144
East Lothian,Council Area,Total Non-EU Registrations,NINo,2004,Calendar,Count,70,0.759466204
East Renfrewshire,Council Area,Total Non-EU Registrations,NINo,2004,Calendar,Count,70,0.779596837
Falkirk,Council Area,Total Non-EU Registrations,NINo,2004,Calendar,Count,120,0.8091706
Fife,Council Area,Total Non-EU Registrations,NINo,2004,Calendar,Count,400,1.132983997
Glasgow City,Council Area,Total Non-EU Registrations,NINo,2004,Calendar,Count,2230,3.915303041
Highland,Council Area,Total Non-EU Registrations,NINo,2004,Calendar,Count,360,1.677852349
Inverclyde,Council Area,Total Non-EU Registrations,NINo,2004,Calendar,Count,50,0.604668037
Midlothian,Council Area,Total Non-EU Registrations,NINo,2004,Calendar,Count,50,0.623208276
Moray,Council Area,Total Non-EU Registrations,NINo,2004,Calendar,Count,70,0.783172969
Na h-Eileanan Siar,Council Area,Total Non-EU Registrations,NINo,2004,Calendar,Count,30,1.125703565
North Ayrshire,Council Area,Total Non-EU Registrations,NINo,2004,Calendar,Count,90,0.659340659
North Lanarkshire,Council Area,Total Non-EU Registrations,NINo,2004,Calendar,Count,200,0.61462815
Orkney Islands,Council Area,Total Non-EU Registrations,NINo,2004,Calendar,Count,20,1.008572869
Perth and Kinross,Council Area,Total Non-EU Registrations,NINo,2004,Calendar,Count,310,2.264426589
Renfrewshire,Council Area,Total Non-EU Registrations,NINo,2004,Calendar,Count,180,1.049746311
SCOTLAND,Council Area,Total Non-EU Registrations,NINo,2004,Calendar,Count,10440,2.053380013
Scottish Borders,Council Area,Total Non-EU Registrations,NINo,2004,Calendar,Count,120,1.096391046
Shetland Islands,Council Area,Total Non-EU Registrations,NINo,2004,Calendar,Count,30,1.358080579
South Ayrshire,Council Area,Total Non-EU Registrations,NINo,2004,Calendar,Count,90,0.80472103
South Lanarkshire,Council Area,Total Non-EU Registrations,NINo,2004,Calendar,Count,260,0.850618334
Stirling,Council Area,Total Non-EU Registrations,NINo,2004,Calendar,Count,160,1.840773125
West Dunbartonshire,Council Area,Total Non-EU Registrations,NINo,2004,Calendar,Count,60,0.65245759
West Lothian,Council Area,Total Non-EU Registrations,NINo,2004,Calendar,Count,170,1.03950104
Aberdeen City,Council Area,Total Non-EU Registrations,NINo,2005,Calendar,Count,1770,8.481479707
Aberdeenshire,Council Area,Total Non-EU Registrations,NINo,2005,Calendar,Count,270,1.136507135
Angus,Council Area,Total Non-EU Registrations,NINo,2005,Calendar,Count,110,0.987964793
Argyll and Bute,Council Area,Total Non-EU Registrations,NINo,2005,Calendar,Count,220,2.435244631
City of Edinburgh,Council Area,Total Non-EU Registrations,NINo,2005,Calendar,Count,4230,9.411084166
Clackmannanshire,Council Area,Total Non-EU Registrations,NINo,2005,Calendar,Count,40,0.81366965
Dumfries and Galloway,Council Area,Total Non-EU Registrations,NINo,2005,Calendar,Count,110,0.735195829
Dundee City,Council Area,Total Non-EU Registrations,NINo,2005,Calendar,Count,690,4.805013928
East Ayrshire,Council Area,Total Non-EU Registrations,NINo,2005,Calendar,Count,70,0.581975391
East Dunbartonshire,Council Area,Total Non-EU Registrations,NINo,2005,Calendar,Count,80,0.75443229
East Lothian,Council Area,Total Non-EU Registrations,NINo,2005,Calendar,Count,80,0.862719724
East Renfrewshire,Council Area,Total Non-EU Registrations,NINo,2005,Calendar,Count,90,1.001335113
Falkirk,Council Area,Total Non-EU Registrations,NINo,2005,Calendar,Count,150,0.999134084
Fife,Council Area,Total Non-EU Registrations,NINo,2005,Calendar,Count,460,1.294097789
Glasgow City,Council Area,Total Non-EU Registrations,NINo,2005,Calendar,Count,2760,4.848484848
Highland,Council Area,Total Non-EU Registrations,NINo,2005,Calendar,Count,550,2.522241585
Inverclyde,Council Area,Total Non-EU Registrations,NINo,2005,Calendar,Count,70,0.846637639
Midlothian,Council Area,Total Non-EU Registrations,NINo,2005,Calendar,Count,70,0.874453467
Moray,Council Area,Total Non-EU Registrations,NINo,2005,Calendar,Count,70,0.776914539
Na h-Eileanan Siar,Council Area,Total Non-EU Registrations,NINo,2005,Calendar,Count,30,1.113999257
North Ayrshire,Council Area,Total Non-EU Registrations,NINo,2005,Calendar,Count,120,0.877898895
North Lanarkshire,Council Area,Total Non-EU Registrations,NINo,2005,Calendar,Count,240,0.733630861
Orkney Islands,Council Area,Total Non-EU Registrations,NINo,2005,Calendar,Count,20,0.996512207
Perth and Kinross,Council Area,Total Non-EU Registrations,NINo,2005,Calendar,Count,320,2.317832826
Renfrewshire,Council Area,Total Non-EU Registrations,NINo,2005,Calendar,Count,250,1.458321181
SCOTLAND,Council Area,Total Non-EU Registrations,NINo,2005,Calendar,Count,13900,2.720050096
Scottish Borders,Council Area,Total Non-EU Registrations,NINo,2005,Calendar,Count,160,1.451247166
Shetland Islands,Council Area,Total Non-EU Registrations,NINo,2005,Calendar,Count,30,1.348314607
South Ayrshire,Council Area,Total Non-EU Registrations,NINo,2005,Calendar,Count,120,1.071141658
South Lanarkshire,Council Area,Total Non-EU Registrations,NINo,2005,Calendar,Count,290,0.945087176
Stirling,Council Area,Total Non-EU Registrations,NINo,2005,Calendar,Count,250,2.856816364
West Dunbartonshire,Council Area,Total Non-EU Registrations,NINo,2005,Calendar,Count,80,0.874030373
West Lothian,Council Area,Total Non-EU Registrations,NINo,2005,Calendar,Count,170,1.030240591
Aberdeen City,Council Area,Total Non-EU Registrations,NINo,2006,Calendar,Count,2030,9.683728474
Aberdeenshire,Council Area,Total Non-EU Registrations,NINo,2006,Calendar,Count,260,1.078033004
Angus,Council Area,Total Non-EU Registrations,NINo,2006,Calendar,Count,80,0.711111111
Argyll and Bute,Council Area,Total Non-EU Registrations,NINo,2006,Calendar,Count,200,2.201188642
City of Edinburgh,Council Area,Total Non-EU Registrations,NINo,2006,Calendar,Count,4250,9.401822848
Clackmannanshire,Council Area,Total Non-EU Registrations,NINo,2006,Calendar,Count,40,0.807428341
Dumfries and Galloway,Council Area,Total Non-EU Registrations,NINo,2006,Calendar,Count,100,0.667690459
Dundee City,Council Area,Total Non-EU Registrations,NINo,2006,Calendar,Count,610,4.255022321
East Ayrshire,Council Area,Total Non-EU Registrations,NINo,2006,Calendar,Count,50,0.41514447
East Dunbartonshire,Council Area,Total Non-EU Registrations,NINo,2006,Calendar,Count,110,1.041765319
East Lothian,Council Area,Total Non-EU Registrations,NINo,2006,Calendar,Count,100,1.065530101
East Renfrewshire,Council Area,Total Non-EU Registrations,NINo,2006,Calendar,Count,100,1.114206128
Falkirk,Council Area,Total Non-EU Registrations,NINo,2006,Calendar,Count,130,0.860414323
Fife,Council Area,Total Non-EU Registrations,NINo,2006,Calendar,Count,390,1.091641941
Glasgow City,Council Area,Total Non-EU Registrations,NINo,2006,Calendar,Count,3150,5.541286986
Highland,Council Area,Total Non-EU Registrations,NINo,2006,Calendar,Count,390,1.766464354
Inverclyde,Council Area,Total Non-EU Registrations,NINo,2006,Calendar,Count,50,0.607385811
Midlothian,Council Area,Total Non-EU Registrations,NINo,2006,Calendar,Count,90,1.125140643
Moray,Council Area,Total Non-EU Registrations,NINo,2006,Calendar,Count,60,0.660938533
Na h-Eileanan Siar,Council Area,Total Non-EU Registrations,NINo,2006,Calendar,Count,20,0.7390983
North Ayrshire,Council Area,Total Non-EU Registrations,NINo,2006,Calendar,Count,60,0.438628555
North Lanarkshire,Council Area,Total Non-EU Registrations,NINo,2006,Calendar,Count,230,0.699641054
Orkney Islands,Council Area,Total Non-EU Registrations,NINo,2006,Calendar,Count,10,0.491642085
Perth and Kinross,Council Area,Total Non-EU Registrations,NINo,2006,Calendar,Count,340,2.439374372
Renfrewshire,Council Area,Total Non-EU Registrations,NINo,2006,Calendar,Count,300,1.751620249
SCOTLAND,Council Area,Total Non-EU Registrations,NINo,2006,Calendar,Count,14230,2.772257939
Scottish Borders,Council Area,Total Non-EU Registrations,NINo,2006,Calendar,Count,140,1.26285405
